array_type;size;algorithm;time_microseconds;char_comparisons
random;100;QuickSort;497;13948
random;100;MergeSort;149;599
random;100;StringQuickSort;40;688
random;100;StringMergeSort;342;500
random;100;MsdRadixSort;164;356
random;100;MsdRadixSortWithQuickSort;33;307
random;200;QuickSort;1006;28670
random;200;MergeSort;304;1487
random;200;StringQuickSort;97;1717
random;200;StringMergeSort;718;1148
random;200;MsdRadixSort;329;790
random;200;MsdRadixSortWithQuickSort;69;716
random;300;QuickSort;1545;44337
random;300;MergeSort;479;2508
random;300;StringQuickSort;145;2567
random;300;StringMergeSort;1386;1886
random;300;MsdRadixSort;442;1218
random;300;MsdRadixSortWithQuickSort;110;1197
random;400;QuickSort;2437;58963
random;400;MergeSort;1325;3657
random;400;StringQuickSort;357;3571
random;400;StringMergeSort;2538;2656
random;400;MsdRadixSort;834;1648
random;400;MsdRadixSortWithQuickSort;301;1709
random;500;QuickSort;4367;76923
random;500;MergeSort;959;4859
random;500;StringQuickSort;248;4391
random;500;StringMergeSort;2034;3518
random;500;MsdRadixSort;650;2074
random;500;MsdRadixSortWithQuickSort;202;2256
random;600;QuickSort;3642;90124
random;600;MergeSort;1298;6105
random;600;StringQuickSort;342;6030
random;600;StringMergeSort;2814;4328
random;600;MsdRadixSort;731;2508
random;600;MsdRadixSortWithQuickSort;254;2913
random;700;QuickSort;3837;108123
random;700;MergeSort;1396;7407
random;700;StringQuickSort;444;7187
random;700;StringMergeSort;3353;5207
random;700;MsdRadixSort;1073;2952
random;700;MsdRadixSortWithQuickSort;417;3488
random;800;QuickSort;4626;125267
random;800;MergeSort;2310;8761
random;800;StringQuickSort;738;7598
random;800;StringMergeSort;4078;6051
random;800;MsdRadixSort;1613;3428
random;800;MsdRadixSortWithQuickSort;426;4150
random;900;QuickSort;4858;136426
random;900;MergeSort;1868;10149
random;900;StringQuickSort;638;8891
random;900;StringMergeSort;4892;6976
random;900;MsdRadixSort;1069;3878
random;900;MsdRadixSortWithQuickSort;496;4863
random;1000;QuickSort;6037;154174
random;1000;MergeSort;1977;11558
random;1000;StringQuickSort;667;10697
random;1000;StringMergeSort;4383;7893
random;1000;MsdRadixSort;1164;4306
random;1000;MsdRadixSortWithQuickSort;468;5526
random;1100;QuickSort;6238;169329
random;1100;MergeSort;2617;13010
random;1100;StringQuickSort;1146;11010
random;1100;StringMergeSort;7014;8800
random;1100;MsdRadixSort;1318;4798
random;1100;MsdRadixSortWithQuickSort;557;6455
random;1200;QuickSort;7943;186639
random;1200;MergeSort;2806;14503
random;1200;StringQuickSort;875;12366
random;1200;StringMergeSort;5910;9745
random;1200;MsdRadixSort;1481;5248
random;1200;MsdRadixSortWithQuickSort;839;7254
random;1300;QuickSort;8073;203010
random;1300;MergeSort;2853;16023
random;1300;StringQuickSort;926;13352
random;1300;StringMergeSort;6880;10708
random;1300;MsdRadixSort;1546;5724
random;1300;MsdRadixSortWithQuickSort;634;7952
random;1400;QuickSort;7923;222289
random;1400;MergeSort;3123;17542
random;1400;StringQuickSort;969;16363
random;1400;StringMergeSort;7613;11654
random;1400;MsdRadixSort;1980;6192
random;1400;MsdRadixSortWithQuickSort;758;8709
random;1500;QuickSort;8538;236709
random;1500;MergeSort;3784;19077
random;1500;StringQuickSort;1080;17718
random;1500;StringMergeSort;8007;12621
random;1500;MsdRadixSort;2247;6662
random;1500;MsdRadixSortWithQuickSort;1100;9353
random;1600;QuickSort;11683;251640
random;1600;MergeSort;3817;20675
random;1600;StringQuickSort;1392;18065
random;1600;StringMergeSort;11618;13580
random;1600;MsdRadixSort;2257;7146
random;1600;MsdRadixSortWithQuickSort;866;10334
random;1700;QuickSort;9935;269558
random;1700;MergeSort;3809;22260
random;1700;StringQuickSort;1146;19145
random;1700;StringMergeSort;8575;14593
random;1700;MsdRadixSort;2236;7636
random;1700;MsdRadixSortWithQuickSort;895;11066
random;1800;QuickSort;10973;280224
random;1800;MergeSort;4169;23894
random;1800;StringQuickSort;1170;19538
random;1800;StringMergeSort;8794;15594
random;1800;MsdRadixSort;2283;8150
random;1800;MsdRadixSortWithQuickSort;1045;11785
random;1900;QuickSort;10717;292053
random;1900;MergeSort;4345;25495
random;1900;StringQuickSort;1327;21886
random;1900;StringMergeSort;9291;16594
random;1900;MsdRadixSort;2348;8632
random;1900;MsdRadixSortWithQuickSort;979;12495
random;2000;QuickSort;12647;314332
random;2000;MergeSort;4588;27159
random;2000;StringQuickSort;1580;25592
random;2000;StringMergeSort;10021;17641
random;2000;MsdRadixSort;2650;9128
random;2000;MsdRadixSortWithQuickSort;1074;13256
random;2100;QuickSort;17773;330789
random;2100;MergeSort;4895;28758
random;2100;StringQuickSort;1386;23007
random;2100;StringMergeSort;11642;18564
random;2100;MsdRadixSort;2782;9654
random;2100;MsdRadixSortWithQuickSort;1239;14348
random;2200;QuickSort;13119;352615
random;2200;MergeSort;5003;30469
random;2200;StringQuickSort;1610;25830
random;2200;StringMergeSort;12234;19578
random;2200;MsdRadixSort;2788;10180
random;2200;MsdRadixSortWithQuickSort;1168;14995
random;2300;QuickSort;16472;364247
random;2300;MergeSort;5144;32144
random;2300;StringQuickSort;1623;26986
random;2300;StringMergeSort;13530;20603
random;2300;MsdRadixSort;3417;10726
random;2300;MsdRadixSortWithQuickSort;1854;16201
random;2400;QuickSort;13301;375673
random;2400;MergeSort;5375;33893
random;2400;StringQuickSort;2073;26695
random;2400;StringMergeSort;18849;21611
random;2400;MsdRadixSort;3555;11264
random;2400;MsdRadixSortWithQuickSort;1584;16922
random;2500;QuickSort;14854;395389
random;2500;MergeSort;5489;35645
random;2500;StringQuickSort;1796;30322
random;2500;StringMergeSort;13443;22701
random;2500;MsdRadixSort;3642;11812
random;2500;MsdRadixSortWithQuickSort;1420;17619
random;2600;QuickSort;14995;412773
random;2600;MergeSort;5789;37368
random;2600;StringQuickSort;2196;33753
random;2600;StringMergeSort;14331;23773
random;2600;MsdRadixSort;3733;12316
random;2600;MsdRadixSortWithQuickSort;1501;18534
random;2700;QuickSort;16673;423545
random;2700;MergeSort;6288;39169
random;2700;StringQuickSort;2089;34030
random;2700;StringMergeSort;14263;24902
random;2700;MsdRadixSort;4255;12854
random;2700;MsdRadixSortWithQuickSort;1987;19150
random;2800;QuickSort;16964;448403
random;2800;MergeSort;6601;40908
random;2800;StringQuickSort;1884;31559
random;2800;StringMergeSort;15027;25852
random;2800;MsdRadixSort;4587;13414
random;2800;MsdRadixSortWithQuickSort;1563;20377
random;2900;QuickSort;23796;462642
random;2900;MergeSort;6881;42679
random;2900;StringQuickSort;2017;34112
random;2900;StringMergeSort;15849;26874
random;2900;MsdRadixSort;4362;13980
random;2900;MsdRadixSortWithQuickSort;1639;21343
random;3000;QuickSort;17931;485147
random;3000;MergeSort;7945;44471
random;3000;StringQuickSort;2692;39612
random;3000;StringMergeSort;17204;27980
random;3000;MsdRadixSort;7720;14526
random;3000;MsdRadixSortWithQuickSort;2911;22133
reverse_sorted;100;QuickSort;536;14116
reverse_sorted;100;MergeSort;123;596
reverse_sorted;100;StringQuickSort;25;605
reverse_sorted;100;StringMergeSort;302;333
reverse_sorted;100;MsdRadixSort;155;496
reverse_sorted;100;MsdRadixSortWithQuickSort;46;621
reverse_sorted;200;QuickSort;997;29585
reverse_sorted;200;MergeSort;300;1327
reverse_sorted;200;StringQuickSort;59;1340
reverse_sorted;200;StringMergeSort;710;695
reverse_sorted;200;MsdRadixSort;319;992
reverse_sorted;200;MsdRadixSortWithQuickSort;91;1268
reverse_sorted;300;QuickSort;1404;41626
reverse_sorted;300;MergeSort;531;2073
reverse_sorted;300;StringQuickSort;95;2134
reverse_sorted;300;StringMergeSort;1277;1056
reverse_sorted;300;MsdRadixSort;457;1476
reverse_sorted;300;MsdRadixSortWithQuickSort;137;1930
reverse_sorted;400;QuickSort;2030;59294
reverse_sorted;400;MergeSort;602;2837
reverse_sorted;400;StringQuickSort;135;2977
reverse_sorted;400;StringMergeSort;1446;1424
reverse_sorted;400;MsdRadixSort;570;1944
reverse_sorted;400;MsdRadixSortWithQuickSort;185;2537
reverse_sorted;500;QuickSort;1999;59718
reverse_sorted;500;MergeSort;770;3797
reverse_sorted;500;StringQuickSort;171;3864
reverse_sorted;500;StringMergeSort;1798;1886
reverse_sorted;500;MsdRadixSort;722;2448
reverse_sorted;500;MsdRadixSortWithQuickSort;230;3199
reverse_sorted;600;QuickSort;2724;81176
reverse_sorted;600;MergeSort;939;4394
reverse_sorted;600;StringQuickSort;209;4829
reverse_sorted;600;StringMergeSort;2404;2117
reverse_sorted;600;MsdRadixSort;849;2912
reverse_sorted;600;MsdRadixSortWithQuickSort;275;3819
reverse_sorted;700;QuickSort;3428;101562
reverse_sorted;700;MergeSort;1897;5244
reverse_sorted;700;StringQuickSort;483;5679
reverse_sorted;700;StringMergeSort;5016;2527
